static,charname
Thats It Eden,Defai Extra
Thats It Eden,Fisty Mcsnappins
Thats It Eden,Hel Sakimuri
Thats It Eden,Sora Tohsaka
Thats It Eden,Miara Devlin
Thats It Eden,Belkin Dusurand
Thats It Eden,Layla D'gardi
Thats It Eden,Sapphire Devereaux
Thats It Eden,Jadia Gladius
Thats It Eden,Jante Dracionstar
Thats It Eden,Kheira Bandraoi
Thats It Eden,Hrestris Niuwun
Consistently Inconsistent,Defai Alter
Consistently Inconsistent,Tohoshi Akagane
Consistently Inconsistent,Masatsuchi Shirogane
Consistently Inconsistent,Deus Star
Consistently Inconsistent,Drake Mirabile
Consistently Inconsistent,Akino Miyazawa
Consistently Inconsistent,Alan Dianchect
Consistently Inconsistent,Karasu Tsukiyomi
Bobo,Dxxdyy Birdfeather
Bobo,Syph Shadow
Bobo,Sath Flipparia
Bobo,Mal Jordan
Bobo,Raine Valerian
Bobo,Umbra Vixen
Bobo,Kyoko Kitsune
